old_url,new_url,type
/uploads/1/2/9/4/12942040/4858180-orig.jpg,/assets/img/gallery/cedar-chest-after.jpg,image
/uploads/1/2/9/4/12942040/4858180-orig_orig.jpg,/assets/img/gallery/cedar-chest-after.jpg,image
/uploads/1/2/9/4/12942040/1542617-orig.jpg,/assets/img/gallery/lowboy-before.jpg,image
/uploads/1/2/9/4/12942040/1542617-orig_orig.jpg,/assets/img/gallery/lowboy-before.jpg,image
/uploads/1/2/9/4/12942040/8467262-orig.jpg,/assets/img/gallery/lowboy-after.jpg,image
/uploads/1/2/9/4/12942040/8467262-orig_orig.jpg,/assets/img/gallery/lowboy-after.jpg,image
/uploads/1/2/9/4/12942040/7862305-orig.jpg,/assets/img/gallery/moon-chair-before.jpg,image
/uploads/1/2/9/4/12942040/7862305-orig_orig.jpg,/assets/img/gallery/moon-chair-before.jpg,image
/uploads/1/2/9/4/12942040/300083-orig.jpg,/assets/img/gallery/moon-chair-after.jpg,image
/uploads/1/2/9/4/12942040/300083-orig_orig.jpg,/assets/img/gallery/moon-chair-after.jpg,image
/uploads/1/2/9/4/12942040/p20.png,/assets/img/gallery/federal-before.jpg,image
/uploads/1/2/9/4/12942040/p20_orig.png,/assets/img/gallery/federal-before.jpg,image
/uploads/1/2/9/4/12942040/p50.png,/assets/img/gallery/federal-stripped.jpg,image
/uploads/1/2/9/4/12942040/p50_orig.png,/assets/img/gallery/federal-stripped.jpg,image
/uploads/1/2/9/4/12942040/p67.png,/assets/img/gallery/federal-stain.jpg,image
/uploads/1/2/9/4/12942040/p67_orig.png,/assets/img/gallery/federal-stain.jpg,image
/uploads/1/2/9/4/12942040/p110.png,/assets/img/gallery/federal-after.jpg,image
/uploads/1/2/9/4/12942040/p110_orig.png,/assets/img/gallery/federal-after.jpg,image
